               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070492,            0.036083,            0.034038,              0.3259,               0.375,             0.35442,             0.15351,            0.046576,           0.0077347,            0.016081,            0.070652,           0.0032609,           0.0032609
                   1,            0.052744,            0.025853,           0.0094765,             0.34111,             0.76063,             0.40936,             0.22058,            0.039999,           0.0066241,           0.0082038,            0.040587,           0.0065289,           0.0065289
                   2,            0.057682,            0.023412,           0.0064635,              0.1447,             0.57292,             0.18442,            0.056306,            0.046377,           0.0063521,           0.0024657,            0.010456,            0.009731,            0.009731
                   3,             0.05479,            0.024483,           0.0052774,              0.3646,               0.875,             0.42354,             0.21844,            0.031863,           0.0064692,           0.0025309,            0.009703,            0.009703,            0.009703
                   4,            0.050871,            0.023544,           0.0041535,              0.8555,             0.70158,              0.7519,             0.46444,            0.036767,           0.0059839,           0.0020325,            0.009703,            0.009703,            0.009703
                   5,            0.056709,            0.022269,           0.0039227,               0.796,             0.61458,             0.76262,              0.4294,            0.040061,           0.0050747,           0.0019009,            0.009604,            0.009604,            0.009604
                   6,            0.053725,            0.022122,           0.0045851,             0.65162,             0.71718,             0.76896,             0.49147,            0.033699,            0.004944,           0.0022659,            0.009505,            0.009505,            0.009505
                   7,            0.045844,            0.020271,           0.0053449,             0.83389,             0.90198,             0.90057,              0.5376,            0.027879,           0.0045816,           0.0017573,            0.009406,            0.009406,            0.009406
                   8,            0.045243,            0.019433,           0.0029147,             0.94133,             0.94644,             0.98979,             0.58524,            0.037296,           0.0046346,           0.0018233,            0.009307,            0.009307,            0.009307
                   9,            0.047412,            0.020257,           0.0030169,             0.82146,             0.95684,              0.9842,             0.57149,            0.031607,           0.0051485,           0.0021747,            0.009208,            0.009208,            0.009208
                  10,            0.046024,            0.019172,           0.0028607,             0.81248,             0.99837,             0.97545,             0.58526,             0.02413,           0.0053062,           0.0027116,            0.009109,            0.009109,            0.009109
                  11,            0.044891,            0.020446,           0.0029118,             0.90144,             0.96875,             0.98329,             0.58194,            0.030842,            0.004755,           0.0018492,             0.00901,             0.00901,             0.00901
                  12,            0.041419,            0.018355,           0.0025883,             0.88053,             0.96875,             0.98233,             0.73322,            0.020266,           0.0046785,           0.0022334,            0.008911,            0.008911,            0.008911
                  13,            0.044381,            0.017815,           0.0028038,             0.84025,             0.98562,             0.96338,             0.49333,            0.028297,           0.0046073,           0.0021578,            0.008812,            0.008812,            0.008812
                  14,            0.041869,            0.017208,           0.0026505,             0.96861,             0.98687,             0.99324,              0.5268,             0.02919,           0.0042597,           0.0022865,            0.008713,            0.008713,            0.008713
